Enzyme,Description,Substrate,Km(mM),Vmax (μmol/min),Citations
Hexokinase,"Enzyme that phosphorylates hexoses (six-carbon sugars), forming hexose phosphate.",Glucose,0.06,0.016,"RIKMENSPOEL, R., &amp; CAPUTO, R. (1966). The michaelis-menten constant for fructose and for glucose of hexokinase in Bull Spermatozoa. Reproduction, 12(3), 437–444. https://doi.org/10.1530/jrf.0.0120437"
Hexokinase,"Enzyme that phosphorylates hexoses (six-carbon sugars), forming hexose phosphate.",Fructose,1.04,0.029,"RIKMENSPOEL, R., &amp; CAPUTO, R. (1966). The michaelis-menten constant for fructose and for glucose of hexokinase in Bull Spermatozoa. Reproduction, 12(3), 437–444. https://doi.org/10.1530/jrf.0.0120437"
Beta-Galactosidase,Enzyme that cleaves the disaccharide lactose to produce galactose and glucose which then ultimately enter glycolysis.,Lactose,23.28,10.88,"Selvarajan, E., & Mohanasrinivasan, V. (2015). Kinetic studies on exploring lactose hydrolysis potential of β galactosidase extracted from Lactobacillus plantarum HF571129. Journal of food science and technology, 52(10), 6206–6217. https://doi.org/10.1007/s13197-015-1729-z"
Glutamate dehydrogenase,Enzyme that catalyzes the reversible conversion of glutamate to alpha-ketoglutarate and ammonia,Glutamate,0.1,1.08,"Kwon, H. Y., Kang, J. H., Kwon, O. S., Cho, S. W., Park, J., & Choi, S. Y. (2003). Molecular gene cloning, expression, and characterization of bovine brain glutamate dehydrogenase. Journal of biochemistry and molecular biology, 36(6), 545–551. https://doi.org/10.5483/bmbrep.2003.36.6.545"
Glutamate dehydrogenase,Enzyme that catalyzes the reversible conversion of glutamate to alpha-ketoglutarate and ammonia,NH4+,1.1,4.13,"Wang, L., Lai, L., Ouyang, Q., &amp; Tang, C. (2011). Flux balance analysis of ammonia assimilation network in E. coli predicts preferred regulation point. PLoS ONE, 6(1). https://doi.org/10.1371/journal.pone.0016362"
Glutamate dehydrogenase,Enzyme that catalyzes the reversible conversion of glutamate to alpha-ketoglutarate and ammonia,NAD+,1.92,1.26,"Botman, D.; Tigchelaar, W.; Van Noorden, C. J. F. (2014). Determination of Glutamate Dehydrogenase Activity and Its Kinetics in Mouse Tissues using Metabolic Mapping (Quantitative Enzyme Histochemistry). Journal of Histochemistry & Cytochemistry, 62(11), 802–812. doi:10.1369/0022155414549071"
Glutamate dehydrogenase,Enzyme that catalyzes the reversible conversion of glutamate to alpha-ketoglutarate and ammonia,Alpha-Ketogluterate,2,0.00127,"Heckert, Leslie Lynn, ""Purification and characterization of alpha-ketoglutarate dehydrogenase complex from Dictyostelium discoideum"" (1986). Graduate Student Theses, Dissertations, & Professional Papers. 7386."
Carbonic anhydrase,"Enzyme that assists rapid inter-conversion of carbon dioxide and water into carbonic acid, protons and bicarbonate ions.",CO2,2.8,1414,"Capasso, C.; De Luca, V.; Carginale, V.; Cannio, R.; Rossi, M. Biochemical Properties of a Novel and Highly Thermostable Bacterial α-Carbonic Anhydrase from Sulfurihydrogenibium Yellowstonense YO3AOP1. J. Enzyme Inhib. Med. Chem. 2012, 27 (6), 892–897. https://doi.org/10.3109/14756366.2012.703185."
Aspartate aminotransferase,Enzyme that catalyzes the conversion of aspartate and alpha-ketoglutarate to oxaloacetate and glutamate.,Aspartate,1.4,12.3,"Ricketts, C. (2011). Aspartate Aminotransferase Substrate Specificity Alteration. https://auislandora.wrlc.org/islandora/object/1011capstones:167/datastream/PDF/view"
Aspartate aminotransferase,Enzyme that catalyzes the conversion of aspartate and alpha-ketoglutarate to oxaloacetate and glutamate.,Alpha-Ketogluterate,0.71,12.3,"Ricketts, C. (2011). Aspartate Aminotransferase Substrate Specificity Alteration. https://auislandora.wrlc.org/islandora/object/1011capstones:167/datastream/PDF/view"
